,Intervention,Shift mean,Shift HDI,Shift HDI significance,Shifted model WAIC,Non-shifted model WAIC,Shifted mdodel better?
0,ADHD,8.354613304138184,"[0.8755515, 17.19573]",True,174.044605406262,177.76598183589834,True
1,Acute_Bronchitis,2.688570499420166,"[-1.3059993, 6.697873]",False,241.96873316155347,240.04003706986836,False
2,Acute_Sinusitis,0.8109921216964722,"[-2.1425915, 3.5909832]",False,200.98728606939616,202.36369143104545,True
3,Acute_Upper_Respiratory_Infection,0.820616602897644,"[-4.4113894, 7.3524923]",False,273.48394628525875,266.59024179347665,False
4,Adjustment_Disorder,1.371600866317749,"[-2.0037017, 4.55058]",False,134.32039072917905,133.60281607962835,False
5,Allergic_Rhinitis,0.7636633515357971,"[-1.6836053, 3.299236]",False,206.80413763484182,207.2455134279922,True
6,Anxiety_Phobic_Disorder,0.7849067449569702,"[-1.3755461, 3.461139]",False,136.8875737355357,137.5128272826294,True
7,Asthma,1.2088623046875,"[-1.1621238, 3.5707452]",False,182.88891476646978,183.08652133411778,True
8,Atopic_Contact_Dermatitis,0.7389482259750366,"[-2.030973, 4.4267454]",False,204.24457533991128,202.41872113761386,False
9,Conduct_Disorder,2.7118706703186035,"[-0.023243666, 5.3781333]",False,160.45665442220582,167.5007563283929,True
10,Ear_Infection,0.3871464133262634,"[-3.6949615, 4.5418024]",False,250.12689994305623,250.76826036931797,True
11,Esophageal_Disease,2.012540817260742,"[-0.12054491, 3.7049053]",False,171.8237689159937,170.77326316148068,False
12,Eye_Infection,2.613722085952759,"[0.12513217, 4.7196045]",True,212.6724388929512,220.56490877319723,True
13,Functional_Digestive_Disorder,1.0716907978057861,"[-0.5921366, 2.9945438]",False,166.1073518846544,167.25496424327397,True
14,Fungal_Infection,2.5232479572296143,"[0.86025757, 4.3656406]",True,141.07318303248567,150.0611001415052,True
15,General_Ear_Disorder,0.181426540017128,"[-1.8675439, 1.7460246]",False,158.64287288855502,156.2783012092333,False
16,General_Viral_Infection,0.7717776894569397,"[-2.51648, 4.7249246]",False,234.72729496390508,234.50440014008913,False
17,Gestational_Pregnancy_Related_Disorder,2.80606746673584,"[-1.3203297, 8.371284]",False,205.87705703445803,203.14882715560648,False
18,Mood_Disorder,1.9032589197158813,"[-1.1398932, 6.4574566]",False,111.16110995947311,114.75105281330859,True
19,Neonatal_Disease,-0.31461644172668457,"[-4.9456205, 2.8104804]",False,152.02155011029072,146.49993526869983,False
20,Non-Specific_Gastrointestinal_Disorder,2.3373959064483643,"[-0.3439639, 5.0169606]",False,196.85241216515104,196.77662163477345,False
21,Pneumonia,1.2583383321762085,"[-0.20054778, 2.7701895]",False,153.0208624843294,155.55349096075105,True
22,Upper_Respiratory_Inflammation,4.252165794372559,"[-0.09736191, 7.3773527]",False,245.70056547174883,244.0086702663683,False
