,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,11.581,17.72,0.303,29.982,0.558,0.404,1002.0,967.0,1.0
shift,8.355,4.304,0.876,16.761,0.208,0.147,446.0,877.0,1.01
b_shrinkage[0],0.819,2.09,0.005,2.148,0.062,0.044,1261.0,1093.0,1.0
b_shrinkage[1],0.354,0.724,0.0,1.186,0.017,0.012,852.0,299.0,1.0
fixed_b[0],4.196,3.825,-3.235,10.879,0.182,0.129,454.0,310.0,1.01
fixed_b[1],-0.413,0.248,-0.887,0.019,0.012,0.009,466.0,282.0,1.0
ls,6.661,2.896,1.892,12.034,0.171,0.121,254.0,506.0,1.0
var,16.011,22.807,0.732,43.024,0.927,0.656,453.0,914.0,1.0
nu_y,1.463,0.498,0.672,2.41,0.012,0.009,1614.0,1037.0,1.0
sigma_y,1.185,0.363,0.586,1.838,0.012,0.008,953.0,965.0,1.0
