,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.971,7.811,0.049,16.171,0.205,0.145,900.0,615.0,1.0
shift,2.689,2.272,-1.16,6.616,0.097,0.068,582.0,1182.0,1.0
b_shrinkage[0],0.946,2.188,0.008,2.416,0.062,0.044,1509.0,1206.0,1.0
b_shrinkage[1],0.293,0.638,0.0,1.058,0.021,0.015,1250.0,647.0,1.0
fixed_b[0],5.503,3.161,-0.34,11.901,0.2,0.168,430.0,175.0,1.01
fixed_b[1],-0.173,0.136,-0.461,0.065,0.009,0.008,305.0,209.0,1.02
ls,7.32,6.654,0.945,18.268,0.566,0.401,105.0,253.0,1.04
var,8.269,8.498,0.241,22.709,0.468,0.331,399.0,473.0,1.01
nu_y,3.033,1.331,1.003,5.425,0.038,0.027,847.0,519.0,1.0
sigma_y,1.692,0.383,1.009,2.437,0.021,0.015,340.0,429.0,1.01
