,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.328,8.593,0.031,12.206,0.236,0.167,618.0,548.0,1.01
shift,0.811,1.484,-1.872,3.627,0.149,0.106,111.0,851.0,1.04
b_shrinkage[0],0.852,1.463,0.006,2.253,0.049,0.035,542.0,151.0,1.01
b_shrinkage[1],0.319,0.762,0.0,1.197,0.021,0.015,789.0,1190.0,1.0
fixed_b[0],5.395,2.846,-0.14,11.385,0.127,0.09,543.0,435.0,1.03
fixed_b[1],-0.189,0.088,-0.351,-0.007,0.004,0.003,532.0,631.0,1.02
ls,23.27,44.104,0.002,53.98,2.504,1.772,24.0,14.0,1.12
var,8.984,11.749,0.018,28.252,0.8,0.566,267.0,272.0,1.03
nu_y,4.039,1.616,1.572,7.008,0.038,0.027,1762.0,1545.0,1.0
sigma_y,1.652,0.376,0.849,2.394,0.094,0.067,25.0,13.0,1.11
