,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.099,8.755,0.029,14.317,0.26,0.184,120.0,20.0,1.03
shift,0.821,2.709,-3.363,7.854,0.122,0.086,506.0,677.0,1.01
b_shrinkage[0],0.971,1.657,0.007,2.392,0.041,0.029,1463.0,957.0,1.01
b_shrinkage[1],0.256,0.643,0.0,0.943,0.016,0.011,1181.0,872.0,1.01
fixed_b[0],7.111,3.546,0.827,13.632,0.248,0.216,215.0,158.0,1.03
fixed_b[1],-0.065,0.159,-0.4,0.182,0.013,0.016,189.0,45.0,1.03
ls,3.054,1.381,1.154,5.572,0.303,0.219,30.0,56.0,1.12
var,24.32,15.059,3.312,47.606,0.752,0.532,353.0,610.0,1.0
nu_y,3.328,1.528,1.111,6.209,0.07,0.05,286.0,1099.0,1.02
sigma_y,1.987,0.443,1.176,2.844,0.028,0.02,244.0,424.0,1.02
