,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.871,7.114,0.041,14.711,0.175,0.124,1208.0,757.0,1.0
shift,1.372,1.701,-1.532,4.695,0.076,0.054,504.0,808.0,1.0
b_shrinkage[0],0.785,1.196,0.007,2.032,0.03,0.021,1257.0,731.0,1.0
b_shrinkage[1],0.446,3.142,0.0,1.261,0.075,0.053,1078.0,611.0,1.0
fixed_b[0],4.804,2.583,-0.082,9.055,0.135,0.11,461.0,481.0,1.01
fixed_b[1],-0.308,0.163,-0.593,0.023,0.008,0.006,442.0,372.0,1.01
ls,34.53,296.652,0.063,52.982,9.627,6.81,243.0,204.0,1.01
var,6.033,9.974,0.001,17.187,0.441,0.312,534.0,657.0,1.0
nu_y,2.46,1.081,0.879,4.489,0.027,0.019,1427.0,966.0,1.0
sigma_y,1.273,0.332,0.631,1.887,0.011,0.008,900.0,705.0,1.0
