,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.143,6.476,0.026,11.386,0.168,0.119,958.0,525.0,1.0
shift,0.764,1.289,-1.517,3.162,0.056,0.04,609.0,599.0,1.0
b_shrinkage[0],0.846,1.145,0.048,2.25,0.031,0.022,1497.0,1079.0,1.0
b_shrinkage[1],0.284,0.54,0.0,1.064,0.013,0.009,1706.0,1581.0,1.0
fixed_b[0],5.658,1.907,2.188,9.579,0.098,0.079,467.0,422.0,1.01
fixed_b[1],-0.171,0.081,-0.314,-0.018,0.004,0.003,529.0,436.0,1.01
ls,5.657,23.905,0.463,10.722,1.404,0.994,42.0,39.0,1.08
var,4.367,4.345,0.208,9.171,0.221,0.156,578.0,716.0,1.01
nu_y,3.032,1.276,1.103,5.323,0.042,0.029,860.0,1461.0,1.0
sigma_y,1.372,0.313,0.854,1.981,0.017,0.012,339.0,371.0,1.01
