,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.974,7.242,0.016,11.135,0.194,0.144,865.0,422.0,1.01
shift,0.785,1.275,-1.193,3.366,0.05,0.042,804.0,832.0,1.0
b_shrinkage[0],0.859,1.324,0.007,2.353,0.036,0.025,1347.0,963.0,1.0
b_shrinkage[1],0.355,0.738,0.001,1.294,0.019,0.013,1206.0,1473.0,1.01
fixed_b[0],4.947,2.107,0.576,9.039,0.096,0.068,524.0,551.0,1.0
fixed_b[1],-0.247,0.125,-0.487,-0.011,0.005,0.004,574.0,722.0,1.0
ls,10.549,42.194,0.077,15.228,2.088,1.478,137.0,138.0,1.01
var,4.236,5.524,0.043,10.991,0.239,0.169,505.0,982.0,1.0
nu_y,2.057,0.967,0.654,3.83,0.028,0.02,971.0,788.0,1.0
sigma_y,1.079,0.365,0.486,1.763,0.014,0.01,586.0,788.0,1.0
