,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.59,17.396,0.011,14.178,0.493,0.349,720.0,640.0,1.01
shift,1.209,1.244,-1.086,3.378,0.062,0.044,413.0,571.0,1.02
b_shrinkage[0],0.702,1.094,0.021,1.947,0.031,0.022,1425.0,982.0,1.0
b_shrinkage[1],0.279,0.665,0.0,1.037,0.016,0.011,1456.0,1008.0,1.0
fixed_b[0],3.434,2.126,-0.698,7.573,0.11,0.095,478.0,466.0,1.04
fixed_b[1],-0.119,0.067,-0.25,0.007,0.003,0.003,530.0,433.0,1.02
ls,24.769,54.673,0.01,73.925,1.997,1.412,38.0,59.0,1.08
var,4.174,6.297,0.001,13.779,0.279,0.198,356.0,663.0,1.02
nu_y,3.807,1.505,1.438,6.597,0.037,0.026,1379.0,1133.0,1.0
sigma_y,1.194,0.269,0.641,1.69,0.039,0.028,67.0,33.0,1.04
