,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.106,7.443,0.029,11.258,0.2,0.142,1189.0,716.0,1.0
shift,0.739,1.597,-2.111,4.016,0.062,0.044,693.0,932.0,1.0
b_shrinkage[0],0.891,1.242,0.006,2.391,0.032,0.023,1499.0,1173.0,1.0
b_shrinkage[1],0.296,0.766,0.0,1.054,0.022,0.015,1519.0,1335.0,1.01
fixed_b[0],5.996,2.968,0.054,11.653,0.128,0.099,563.0,548.0,1.0
fixed_b[1],-0.169,0.121,-0.428,0.03,0.005,0.004,591.0,343.0,1.0
ls,11.106,6.465,1.851,22.78,0.395,0.28,214.0,307.0,1.02
var,10.653,11.742,0.124,31.235,0.624,0.451,448.0,452.0,1.0
nu_y,3.753,1.51,1.322,6.529,0.034,0.025,1937.0,1581.0,1.0
sigma_y,1.562,0.267,1.067,2.062,0.007,0.005,1298.0,1283.0,1.0
