,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.452,11.326,0.038,16.594,0.346,0.245,1162.0,602.0,1.0
shift,2.712,1.389,0.119,5.386,0.056,0.04,618.0,516.0,1.01
b_shrinkage[0],0.633,1.031,0.004,1.769,0.028,0.02,958.0,689.0,1.0
b_shrinkage[1],0.309,1.43,0.0,1.074,0.033,0.023,1214.0,1042.0,1.0
fixed_b[0],2.66,2.028,-1.276,6.317,0.101,0.071,426.0,419.0,1.01
fixed_b[1],-0.164,0.089,-0.313,0.02,0.005,0.004,417.0,323.0,1.01
ls,59.148,368.658,0.005,137.749,10.276,7.268,332.0,235.0,1.01
var,4.621,7.969,0.003,13.272,0.345,0.315,588.0,869.0,1.0
nu_y,1.448,0.521,0.648,2.396,0.016,0.011,957.0,874.0,1.0
sigma_y,1.115,0.338,0.556,1.784,0.011,0.008,766.0,767.0,1.0
