,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.013,14.485,0.035,14.516,0.458,0.324,1007.0,896.0,1.01
shift,0.387,1.96,-3.338,4.512,0.078,0.058,699.0,607.0,1.01
b_shrinkage[0],1.06,1.87,0.007,2.716,0.054,0.039,950.0,613.0,1.01
b_shrinkage[1],0.276,0.624,0.0,1.029,0.014,0.01,1331.0,1056.0,1.0
fixed_b[0],7.592,3.234,1.332,13.72,0.132,0.093,609.0,555.0,1.01
fixed_b[1],-0.09,0.145,-0.377,0.17,0.006,0.004,610.0,539.0,1.0
ls,3.914,0.832,2.329,5.319,0.058,0.042,217.0,409.0,1.02
var,20.269,12.808,4.912,42.029,0.631,0.446,356.0,791.0,1.01
nu_y,2.931,1.427,0.973,5.573,0.047,0.033,749.0,890.0,1.01
sigma_y,1.583,0.424,0.81,2.366,0.018,0.013,533.0,583.0,1.01
