,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.604,8.548,0.052,14.642,0.245,0.174,783.0,463.0,1.0
shift,2.013,0.964,-0.121,3.574,0.051,0.036,375.0,539.0,1.01
b_shrinkage[0],0.569,1.04,0.002,1.623,0.027,0.019,1266.0,1092.0,1.0
b_shrinkage[1],0.224,0.594,0.0,0.942,0.016,0.011,1197.0,1267.0,1.0
fixed_b[0],1.516,1.319,-0.934,3.861,0.068,0.048,357.0,257.0,1.0
fixed_b[1],-0.051,0.052,-0.174,0.032,0.003,0.002,381.0,215.0,1.01
ls,104.58,1524.768,0.064,90.554,63.689,45.058,70.0,166.0,1.07
var,2.508,3.676,0.007,7.534,0.211,0.149,294.0,456.0,1.01
nu_y,2.492,0.999,1.011,4.31,0.028,0.02,1290.0,1296.0,1.0
sigma_y,0.951,0.224,0.546,1.386,0.01,0.007,513.0,408.0,1.01
