,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.507,6.35,0.135,14.22,0.252,0.178,392.0,389.0,1.01
shift,2.614,1.179,0.119,4.598,0.124,0.088,96.0,217.0,1.04
b_shrinkage[0],0.656,0.799,0.01,1.896,0.041,0.029,292.0,367.0,1.02
b_shrinkage[1],0.361,1.171,0.002,1.114,0.065,0.048,198.0,641.0,1.02
fixed_b[0],3.703,1.309,1.198,6.309,0.086,0.061,244.0,220.0,1.05
fixed_b[1],-0.13,0.052,-0.232,-0.044,0.004,0.003,206.0,251.0,1.02
ls,42.693,461.988,0.001,65.486,13.04,9.223,13.0,163.0,1.24
var,3.641,3.265,0.004,7.344,0.258,0.183,70.0,129.0,1.06
nu_y,3.502,1.469,1.171,6.374,0.071,0.05,373.0,504.0,1.04
sigma_y,1.299,0.551,0.396,2.192,0.186,0.136,9.0,46.0,1.36
