,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.417,8.681,0.026,11.49,0.346,0.266,831.0,680.0,1.0
shift,1.072,0.957,-0.442,2.959,0.051,0.036,393.0,339.0,1.01
b_shrinkage[0],0.754,1.472,0.003,2.038,0.047,0.033,953.0,944.0,1.0
b_shrinkage[1],0.316,0.834,0.0,1.175,0.023,0.017,955.0,1187.0,1.0
fixed_b[0],3.587,1.866,-0.326,6.844,0.138,0.101,209.0,183.0,1.02
fixed_b[1],-0.113,0.077,-0.263,0.011,0.007,0.005,185.0,168.0,1.03
ls,27.738,110.262,0.015,78.913,4.37,3.092,64.0,129.0,1.04
var,4.609,9.968,0.0,13.359,0.802,0.628,212.0,242.0,1.02
nu_y,3.133,1.306,1.107,5.672,0.045,0.032,738.0,919.0,1.0
sigma_y,1.058,0.253,0.555,1.525,0.022,0.015,141.0,123.0,1.02
