,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.354,15.013,0.015,15.759,0.5,0.354,638.0,320.0,1.0
shift,2.523,0.863,1.071,4.374,0.042,0.03,469.0,284.0,1.01
b_shrinkage[0],0.597,1.225,0.003,1.866,0.052,0.037,439.0,213.0,1.02
b_shrinkage[1],0.275,0.874,0.0,0.99,0.025,0.018,1046.0,975.0,1.0
fixed_b[0],1.39,1.358,-1.272,3.994,0.046,0.033,823.0,806.0,1.02
fixed_b[1],-0.072,0.046,-0.165,0.013,0.002,0.001,620.0,497.0,1.01
ls,83.89,525.605,0.003,206.931,14.512,10.264,101.0,174.0,1.05
var,2.835,4.523,0.0,9.755,0.202,0.143,411.0,764.0,1.01
nu_y,2.272,0.925,0.612,3.873,0.042,0.029,253.0,74.0,1.03
sigma_y,0.875,0.242,0.298,1.244,0.02,0.014,163.0,68.0,1.04
