,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.541,6.215,0.026,10.843,0.216,0.153,950.0,623.0,1.0
shift,0.181,0.875,-1.525,1.901,0.058,0.041,219.0,198.0,1.03
b_shrinkage[0],0.69,0.975,0.009,2.154,0.038,0.027,678.0,447.0,1.0
b_shrinkage[1],0.297,0.795,0.0,1.105,0.021,0.015,1061.0,1015.0,1.01
fixed_b[0],3.232,1.947,-1.611,6.307,0.243,0.172,88.0,40.0,1.06
fixed_b[1],-0.097,0.066,-0.234,0.026,0.005,0.003,188.0,317.0,1.02
ls,37.549,255.168,0.091,72.13,9.242,6.537,21.0,83.0,1.14
var,4.704,7.686,0.02,16.847,0.939,0.667,43.0,166.0,1.07
nu_y,3.404,1.449,1.134,5.917,0.048,0.034,813.0,721.0,1.0
sigma_y,1.116,0.249,0.66,1.585,0.021,0.015,135.0,307.0,1.03
