,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.745,8.886,0.048,12.759,0.234,0.165,1018.0,904.0,1.01
shift,0.772,1.786,-2.475,4.352,0.067,0.049,727.0,891.0,1.0
b_shrinkage[0],0.916,4.462,0.004,2.209,0.106,0.075,196.0,65.0,1.02
b_shrinkage[1],0.299,0.745,0.0,1.094,0.018,0.013,819.0,1103.0,1.0
fixed_b[0],5.744,2.813,-0.095,10.379,0.197,0.14,230.0,69.0,1.02
fixed_b[1],-0.12,0.125,-0.326,0.145,0.009,0.006,211.0,85.0,1.02
ls,5.598,2.84,2.468,10.021,0.243,0.172,204.0,158.0,1.02
var,9.502,9.608,1.464,21.464,0.627,0.444,334.0,308.0,1.02
nu_y,3.245,1.372,1.18,5.725,0.036,0.026,1409.0,971.0,1.0
sigma_y,1.647,0.339,1.043,2.271,0.014,0.01,569.0,693.0,1.01
