,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.101,20.055,0.064,18.017,0.575,0.407,908.0,888.0,1.0
shift,2.806,2.61,-1.849,7.321,0.095,0.067,791.0,1048.0,1.0
b_shrinkage[0],0.687,1.346,0.006,1.931,0.037,0.026,1381.0,1129.0,1.0
b_shrinkage[1],0.25,0.655,0.0,1.024,0.015,0.011,1482.0,1308.0,1.0
fixed_b[0],2.673,2.599,-1.502,7.581,0.106,0.08,606.0,894.0,1.01
fixed_b[1],-0.084,0.098,-0.277,0.091,0.006,0.004,409.0,249.0,1.01
ls,5.182,9.268,0.33,13.918,0.69,0.489,25.0,137.0,1.11
var,7.142,10.072,0.006,16.592,0.617,0.437,397.0,347.0,1.01
nu_y,3.383,1.468,1.022,6.163,0.042,0.03,697.0,415.0,1.0
sigma_y,1.782,0.455,1.002,2.677,0.036,0.025,158.0,291.0,1.03
