,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.178,10.783,0.039,13.539,0.34,0.24,930.0,884.0,1.0
shift,1.903,2.044,-1.191,5.918,0.077,0.058,761.0,923.0,1.0
b_shrinkage[0],0.735,0.805,0.006,1.986,0.023,0.016,1129.0,1010.0,1.0
b_shrinkage[1],0.348,0.692,0.001,1.256,0.023,0.016,970.0,602.0,1.0
fixed_b[0],5.155,2.5,0.084,9.59,0.102,0.072,605.0,845.0,1.01
fixed_b[1],-0.339,0.224,-0.725,0.104,0.01,0.007,477.0,682.0,1.01
ls,9.082,98.164,1.076,7.735,3.866,2.735,259.0,159.0,1.01
var,7.339,7.085,0.007,18.431,0.247,0.175,601.0,541.0,1.01
nu_y,1.035,0.381,0.447,1.719,0.013,0.009,700.0,1191.0,1.0
sigma_y,0.867,0.46,0.222,1.723,0.029,0.021,270.0,291.0,1.01
