,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.285,7.516,0.013,12.995,0.23,0.163,442.0,168.0,1.01
shift,-0.315,1.774,-4.612,2.694,0.093,0.074,536.0,267.0,1.01
b_shrinkage[0],0.925,1.316,0.012,2.645,0.041,0.029,1158.0,992.0,1.0
b_shrinkage[1],0.283,0.691,0.0,1.033,0.018,0.014,1453.0,1018.0,1.0
fixed_b[0],5.96,2.734,0.283,10.685,0.125,0.088,486.0,552.0,1.01
fixed_b[1],-0.124,0.1,-0.332,0.046,0.005,0.003,456.0,595.0,1.0
ls,8.943,56.284,0.949,9.751,2.991,2.117,108.0,147.0,1.03
var,7.263,8.454,0.029,18.853,0.405,0.287,295.0,556.0,1.01
nu_y,3.02,1.338,1.055,5.555,0.035,0.025,1314.0,1103.0,1.0
sigma_y,1.095,0.279,0.532,1.576,0.01,0.007,782.0,727.0,1.01
