,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.998,11.606,0.034,15.786,0.393,0.278,1127.0,1081.0,1.0
shift,2.337,1.432,-0.336,4.816,0.055,0.039,667.0,1302.0,1.0
b_shrinkage[0],0.696,0.962,0.005,1.956,0.025,0.018,1857.0,1284.0,1.0
b_shrinkage[1],0.287,0.844,0.0,0.987,0.023,0.016,1226.0,927.0,1.01
fixed_b[0],3.022,1.301,0.575,5.459,0.047,0.033,809.0,686.0,1.01
fixed_b[1],-0.087,0.072,-0.22,0.041,0.003,0.002,641.0,487.0,1.01
ls,3.873,33.568,0.397,2.682,3.133,2.221,53.0,16.0,1.04
var,4.931,2.816,1.035,9.006,0.119,0.084,386.0,161.0,1.01
nu_y,3.111,1.353,1.014,5.557,0.047,0.033,524.0,339.0,1.01
sigma_y,1.01,0.396,0.281,1.668,0.056,0.045,60.0,36.0,1.05
