,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.623,8.162,0.022,12.625,0.237,0.168,605.0,450.0,1.01
shift,1.258,0.814,-0.201,2.635,0.034,0.024,571.0,793.0,1.01
b_shrinkage[0],0.629,0.967,0.005,1.907,0.026,0.018,449.0,197.0,1.01
b_shrinkage[1],0.278,0.692,0.0,1.05,0.021,0.016,1393.0,1401.0,1.0
fixed_b[0],2.479,1.962,-1.189,6.15,0.166,0.117,140.0,306.0,1.03
fixed_b[1],-0.087,0.044,-0.163,0.016,0.003,0.002,293.0,171.0,1.02
ls,79.779,265.674,0.002,242.325,9.25,6.543,92.0,171.0,1.03
var,4.456,8.508,0.001,14.55,0.823,0.666,231.0,187.0,1.01
nu_y,3.698,1.541,1.357,6.665,0.044,0.031,1104.0,1055.0,1.01
sigma_y,1.055,0.247,0.557,1.562,0.024,0.017,127.0,96.0,1.03
