,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.336,28.248,0.167,20.147,0.644,0.456,1585.0,959.0,1.01
shift,4.252,1.945,0.015,7.277,0.08,0.057,593.0,1025.0,1.01
b_shrinkage[0],0.781,0.96,0.007,2.178,0.025,0.018,1844.0,979.0,1.01
b_shrinkage[1],0.324,0.794,0.001,1.124,0.023,0.017,1935.0,1368.0,1.0
fixed_b[0],4.972,2.529,-0.16,9.736,0.093,0.066,799.0,705.0,1.01
fixed_b[1],-0.213,0.093,-0.389,-0.019,0.003,0.002,860.0,788.0,1.0
ls,16.088,49.736,0.008,30.295,2.388,1.689,77.0,50.0,1.05
var,5.666,6.543,0.002,16.604,0.245,0.173,437.0,908.0,1.01
nu_y,2.299,0.887,0.998,3.867,0.022,0.016,1831.0,1503.0,1.0
sigma_y,1.423,0.304,0.874,1.997,0.01,0.007,774.0,491.0,1.01
