,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.225,8.477,0.054,15.42,0.232,0.164,815.0,673.0,1.0
shift,1.705,1.997,-1.165,5.905,0.087,0.061,575.0,855.0,1.0
b_shrinkage[0],1.253,3.536,0.116,2.939,0.146,0.103,1211.0,969.0,1.0
b_shrinkage[1],0.334,0.671,0.0,1.099,0.018,0.013,1372.0,1229.0,1.0
fixed_b[0],9.34,3.098,2.866,14.909,0.133,0.099,580.0,507.0,1.01
fixed_b[1],-0.324,0.128,-0.576,-0.093,0.005,0.004,591.0,867.0,1.0
ls,5.76,1.864,2.353,9.204,0.125,0.088,212.0,155.0,1.02
var,11.138,9.041,1.486,25.298,0.406,0.287,458.0,746.0,1.01
nu_y,2.313,1.17,0.742,4.585,0.04,0.028,709.0,624.0,1.0
sigma_y,1.561,0.482,0.65,2.379,0.02,0.014,458.0,239.0,1.0
