,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.343,14.993,0.075,22.528,0.389,0.275,1377.0,1072.0,1.0
shift,4.586,2.82,-0.381,9.567,0.127,0.09,513.0,910.0,1.01
b_shrinkage[0],0.828,1.117,0.009,2.195,0.042,0.03,980.0,809.0,1.0
b_shrinkage[1],0.336,0.809,0.001,1.175,0.021,0.015,2024.0,1441.0,1.0
fixed_b[0],5.142,2.893,-0.816,9.963,0.122,0.087,558.0,817.0,1.01
fixed_b[1],-0.278,0.149,-0.54,0.011,0.006,0.005,643.0,505.0,1.0
ls,6.496,9.396,1.761,10.158,0.791,0.56,139.0,148.0,1.04
var,9.905,9.778,0.025,26.541,0.516,0.365,302.0,717.0,1.02
nu_y,3.14,1.302,1.081,5.48,0.029,0.021,1658.0,1292.0,1.0
sigma_y,1.462,0.31,0.905,2.096,0.011,0.008,787.0,870.0,1.0
