,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,12.718,16.317,0.5,33.547,0.445,0.315,1460.0,1210.0,1.01
shift,9.816,3.441,2.688,15.595,0.146,0.103,584.0,536.0,1.01
b_shrinkage[0],1.163,1.866,0.102,2.998,0.052,0.037,1915.0,1089.0,1.0
b_shrinkage[1],0.384,0.852,0.001,1.298,0.022,0.017,2384.0,1312.0,1.0
fixed_b[0],9.081,3.069,3.112,15.29,0.125,0.088,669.0,531.0,1.01
fixed_b[1],-0.49,0.154,-0.768,-0.176,0.006,0.005,677.0,593.0,1.01
ls,5.827,2.945,1.662,9.973,0.168,0.119,231.0,327.0,1.02
var,11.236,11.379,0.327,30.5,0.437,0.309,643.0,834.0,1.01
nu_y,2.807,1.15,1.086,4.935,0.026,0.019,1890.0,1434.0,1.0
sigma_y,2.274,0.434,1.464,3.059,0.012,0.008,1338.0,952.0,1.0
