,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.353,15.966,0.033,14.895,0.55,0.389,35.0,272.0,1.07
shift,1.1,1.403,-0.804,3.74,0.382,0.318,17.0,61.0,1.16
b_shrinkage[0],0.776,1.051,0.063,2.112,0.053,0.038,40.0,34.0,1.08
b_shrinkage[1],0.255,0.736,0.0,0.92,0.022,0.016,15.0,31.0,1.19
fixed_b[0],4.958,2.07,1.143,7.894,0.62,0.45,14.0,27.0,1.21
fixed_b[1],-0.143,0.08,-0.271,0.015,0.022,0.016,15.0,23.0,1.2
ls,5.989,22.413,0.647,8.929,1.545,1.094,151.0,127.0,1.08
var,5.246,4.496,0.175,13.235,1.303,0.945,16.0,40.0,1.2
nu_y,2.435,1.128,0.925,4.68,0.145,0.103,42.0,450.0,1.06
sigma_y,1.165,0.428,0.403,1.816,0.118,0.085,15.0,26.0,1.18
