,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.79,8.05,0.05,13.869,0.243,0.172,998.0,715.0,1.0
shift,1.224,1.426,-1.182,4.167,0.052,0.042,765.0,739.0,1.01
b_shrinkage[0],0.762,1.135,0.009,2.012,0.034,0.024,804.0,427.0,1.0
b_shrinkage[1],0.325,0.813,0.001,1.178,0.02,0.014,1522.0,1266.0,1.0
fixed_b[0],4.642,2.184,0.303,8.493,0.108,0.077,400.0,383.0,1.02
fixed_b[1],-0.198,0.097,-0.375,-0.011,0.005,0.003,415.0,405.0,1.01
ls,37.267,573.473,0.009,66.311,13.29,9.399,69.0,72.0,1.06
var,4.561,5.744,0.003,12.143,0.229,0.162,363.0,535.0,1.01
nu_y,2.459,1.231,0.743,4.734,0.048,0.034,533.0,619.0,1.0
sigma_y,1.322,0.374,0.664,2.025,0.024,0.017,221.0,134.0,1.01
