,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,9.162,12.42,0.084,24.806,0.342,0.242,586.0,359.0,1.01
shift,5.997,4.093,-0.902,13.075,0.214,0.151,382.0,912.0,1.01
b_shrinkage[0],1.527,4.971,0.006,3.323,0.22,0.155,1034.0,661.0,1.01
b_shrinkage[1],0.393,0.891,0.001,1.24,0.024,0.017,1610.0,841.0,1.0
fixed_b[0],11.799,3.863,4.632,19.351,0.197,0.139,416.0,451.0,1.0
fixed_b[1],-0.524,0.198,-0.886,-0.154,0.01,0.007,388.0,481.0,1.01
ls,2.681,0.964,1.268,4.198,0.152,0.108,69.0,95.0,1.06
var,25.75,18.083,2.69,56.207,1.108,0.784,267.0,408.0,1.02
nu_y,3.54,1.572,1.21,6.457,0.043,0.03,1053.0,860.0,1.0
sigma_y,1.996,0.455,1.186,2.87,0.023,0.017,371.0,559.0,1.02
