,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.98,20.992,0.089,20.748,0.58,0.41,1564.0,1004.0,1.0
shift,3.203,1.197,1.022,5.607,0.04,0.029,899.0,925.0,1.0
b_shrinkage[0],0.711,2.567,0.004,1.682,0.109,0.08,1242.0,955.0,1.0
b_shrinkage[1],0.341,1.184,0.0,1.081,0.03,0.022,1730.0,1059.0,1.0
fixed_b[0],2.645,1.739,-1.0,5.602,0.074,0.052,584.0,826.0,1.01
fixed_b[1],-0.155,0.062,-0.264,-0.023,0.003,0.002,564.0,704.0,1.01
ls,57.12,334.566,0.003,115.412,10.095,7.14,112.0,159.0,1.02
var,3.512,5.109,0.003,11.423,0.183,0.129,463.0,879.0,1.01
nu_y,2.033,0.845,0.82,3.638,0.022,0.016,1393.0,958.0,1.0
sigma_y,1.129,0.322,0.58,1.759,0.016,0.011,367.0,337.0,1.01
