,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.55,12.079,0.116,17.492,0.326,0.23,1618.0,1220.0,1.0
shift,2.529,1.941,-0.677,6.048,0.07,0.05,783.0,1028.0,1.0
b_shrinkage[0],0.942,1.31,0.045,2.516,0.032,0.022,2577.0,1422.0,1.0
b_shrinkage[1],0.345,0.726,0.001,1.275,0.018,0.012,2584.0,1524.0,1.0
fixed_b[0],6.201,2.042,2.372,9.957,0.064,0.045,1038.0,876.0,1.01
fixed_b[1],-0.243,0.091,-0.423,-0.084,0.003,0.002,1032.0,885.0,1.01
ls,3.619,1.568,1.645,5.913,0.108,0.077,213.0,195.0,1.02
var,6.674,4.689,0.964,14.191,0.167,0.118,502.0,760.0,1.01
nu_y,3.339,1.381,1.084,5.883,0.03,0.021,1852.0,1498.0,1.0
sigma_y,1.305,0.256,0.832,1.779,0.008,0.005,1109.0,963.0,1.0
