,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.927,8.577,0.061,12.42,0.215,0.152,1084.0,805.0,1.0
shift,1.615,1.578,-0.874,4.792,0.068,0.048,535.0,687.0,1.0
b_shrinkage[0],0.761,1.268,0.022,2.071,0.039,0.028,1301.0,751.0,1.0
b_shrinkage[1],0.304,0.736,0.0,1.061,0.017,0.012,1335.0,1255.0,1.01
fixed_b[0],4.13,1.654,0.919,7.394,0.08,0.057,455.0,342.0,1.01
fixed_b[1],-0.166,0.082,-0.311,-0.006,0.005,0.003,344.0,634.0,1.01
ls,7.335,36.288,0.02,15.85,1.565,1.107,61.0,194.0,1.05
var,3.932,4.525,0.001,9.628,0.202,0.143,387.0,558.0,1.0
nu_y,2.66,1.138,1.033,4.89,0.033,0.023,898.0,747.0,1.0
sigma_y,1.267,0.395,0.525,2.003,0.033,0.023,141.0,188.0,1.02
