,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.227,11.211,0.023,16.524,0.396,0.28,722.0,498.0,1.01
shift,2.581,1.798,-0.454,5.779,0.091,0.064,421.0,1073.0,1.01
b_shrinkage[0],0.603,0.868,0.002,1.714,0.024,0.017,1224.0,928.0,1.0
b_shrinkage[1],0.296,0.704,0.0,1.073,0.016,0.011,1607.0,1003.0,1.0
fixed_b[0],2.8,1.819,-0.376,6.107,0.077,0.058,595.0,669.0,1.01
fixed_b[1],-0.146,0.082,-0.292,0.006,0.003,0.002,593.0,631.0,1.01
ls,5.714,8.819,0.702,12.487,0.851,0.603,60.0,84.0,1.08
var,4.531,5.394,0.124,10.395,0.227,0.16,469.0,622.0,1.01
nu_y,2.559,1.183,0.846,4.9,0.041,0.029,707.0,1099.0,1.01
sigma_y,0.914,0.291,0.377,1.421,0.019,0.014,217.0,433.0,1.03
