,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.977,6.237,0.022,11.382,0.148,0.105,824.0,779.0,1.0
shift,0.802,1.065,-1.08,2.951,0.046,0.033,524.0,789.0,1.01
b_shrinkage[0],0.652,1.192,0.003,1.972,0.042,0.03,952.0,528.0,1.0
b_shrinkage[1],0.321,0.948,0.0,1.18,0.027,0.019,1463.0,1051.0,1.0
fixed_b[0],2.606,1.609,-0.869,5.524,0.083,0.058,429.0,431.0,1.01
fixed_b[1],-0.079,0.067,-0.199,0.047,0.004,0.003,362.0,398.0,1.02
ls,24.027,105.099,0.004,60.515,4.659,3.296,105.0,181.0,1.03
var,2.919,4.267,0.0,8.787,0.151,0.107,676.0,880.0,1.0
nu_y,2.694,1.284,0.886,5.146,0.036,0.025,1032.0,852.0,1.0
sigma_y,1.211,0.34,0.578,1.846,0.015,0.011,490.0,457.0,1.01
