,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.211,6.92,0.017,10.965,0.196,0.138,736.0,775.0,1.03
shift,1.115,0.797,-0.238,2.545,0.069,0.049,139.0,470.0,1.05
b_shrinkage[0],0.701,1.048,0.017,2.002,0.042,0.03,327.0,704.0,1.01
b_shrinkage[1],0.27,0.835,0.0,0.94,0.019,0.014,194.0,1111.0,1.03
fixed_b[0],3.84,1.49,0.43,5.876,0.193,0.137,74.0,67.0,1.07
fixed_b[1],-0.139,0.056,-0.241,-0.026,0.007,0.005,66.0,414.0,1.08
ls,30.568,306.752,0.021,29.457,12.24,8.659,12.0,43.0,1.28
var,2.949,3.923,0.025,11.407,0.694,0.495,52.0,59.0,1.1
nu_y,3.337,1.481,1.147,6.21,0.127,0.09,139.0,217.0,1.02
sigma_y,0.895,0.323,0.234,1.363,0.11,0.081,11.0,15.0,1.29
