,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.684,13.029,0.064,20.144,0.346,0.245,1085.0,545.0,1.01
shift,3.811,2.631,-0.718,8.471,0.105,0.074,638.0,1163.0,1.0
b_shrinkage[0],0.903,1.197,0.009,2.381,0.035,0.025,1437.0,1025.0,1.0
b_shrinkage[1],0.345,0.676,0.0,1.237,0.017,0.012,2292.0,1510.0,1.0
fixed_b[0],7.056,3.035,0.954,12.526,0.114,0.088,792.0,766.0,1.01
fixed_b[1],-0.259,0.121,-0.486,-0.036,0.005,0.004,715.0,825.0,1.01
ls,8.45,25.97,1.952,13.506,1.136,0.803,249.0,381.0,1.01
var,9.353,9.458,0.295,23.495,0.377,0.267,598.0,912.0,1.0
nu_y,1.615,0.517,0.742,2.522,0.012,0.009,1720.0,1217.0,1.0
sigma_y,1.608,0.389,0.939,2.362,0.011,0.008,1232.0,896.0,1.0
