,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.107,15.254,0.084,19.758,0.439,0.311,766.0,521.0,1.01
shift,2.968,2.862,-1.688,8.38,0.115,0.082,678.0,571.0,1.01
b_shrinkage[0],1.019,1.728,0.007,2.507,0.064,0.045,565.0,594.0,1.01
b_shrinkage[1],0.305,0.608,0.0,1.113,0.016,0.011,1221.0,1143.0,1.0
fixed_b[0],7.465,3.556,0.173,13.658,0.188,0.133,399.0,578.0,1.01
fixed_b[1],-0.248,0.122,-0.452,0.009,0.006,0.004,480.0,618.0,1.01
ls,7.524,5.058,2.093,16.648,0.299,0.211,246.0,483.0,1.02
var,8.332,11.265,0.218,24.692,0.505,0.357,417.0,751.0,1.01
nu_y,2.028,0.764,0.82,3.482,0.024,0.017,813.0,771.0,1.0
sigma_y,1.297,0.343,0.74,1.97,0.016,0.011,422.0,214.0,1.01
