,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.857,17.876,0.082,21.886,0.834,0.59,938.0,436.0,1.0
shift,4.796,2.373,-0.134,8.581,0.114,0.081,478.0,556.0,1.01
b_shrinkage[0],0.664,1.905,0.003,1.766,0.057,0.04,531.0,371.0,1.01
b_shrinkage[1],0.284,0.661,0.001,1.042,0.016,0.011,1396.0,1346.0,1.0
fixed_b[0],2.599,2.629,-1.568,7.459,0.173,0.156,300.0,290.0,1.03
fixed_b[1],-0.177,0.103,-0.339,0.009,0.008,0.006,301.0,333.0,1.01
ls,10.606,30.886,0.006,24.652,1.034,0.731,109.0,224.0,1.02
var,5.615,9.434,0.026,15.259,0.785,0.556,285.0,243.0,1.01
nu_y,2.066,0.878,0.736,3.674,0.028,0.02,786.0,559.0,1.0
sigma_y,1.451,0.438,0.622,2.196,0.023,0.016,334.0,419.0,1.01
