,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.844,5.995,0.021,10.966,0.161,0.114,971.0,600.0,1.0
shift,0.818,1.076,-0.798,2.74,0.054,0.041,519.0,644.0,1.01
b_shrinkage[0],0.734,1.124,0.003,2.115,0.047,0.033,1010.0,609.0,1.0
b_shrinkage[1],0.299,0.854,0.0,1.083,0.019,0.013,1019.0,763.0,1.0
fixed_b[0],3.463,1.878,-0.121,6.917,0.118,0.091,270.0,303.0,1.03
fixed_b[1],-0.117,0.067,-0.239,0.01,0.004,0.003,245.0,269.0,1.02
ls,23.511,78.236,0.12,74.199,3.771,2.668,117.0,239.0,1.04
var,3.363,4.779,0.012,10.609,0.254,0.18,429.0,498.0,1.01
nu_y,1.821,0.76,0.792,3.22,0.022,0.016,1104.0,1034.0,1.0
sigma_y,0.95,0.288,0.41,1.465,0.013,0.009,449.0,575.0,1.01
