,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.674,5.436,0.013,10.174,0.134,0.094,766.0,479.0,1.01
shift,0.834,1.012,-0.862,2.79,0.048,0.04,506.0,604.0,1.01
b_shrinkage[0],0.76,1.363,0.006,2.211,0.045,0.032,1033.0,971.0,1.01
b_shrinkage[1],0.286,0.77,0.0,1.029,0.023,0.017,1057.0,1157.0,1.01
fixed_b[0],3.423,2.16,-1.23,6.959,0.19,0.135,106.0,193.0,1.05
fixed_b[1],-0.111,0.086,-0.267,0.034,0.008,0.006,141.0,148.0,1.04
ls,62.21,521.31,0.015,115.126,25.907,18.332,30.0,137.0,1.1
var,3.803,6.165,0.002,10.024,0.349,0.267,270.0,487.0,1.01
nu_y,1.841,0.885,0.683,3.377,0.074,0.053,209.0,516.0,1.03
sigma_y,0.889,0.252,0.457,1.391,0.009,0.006,778.0,884.0,1.0
