,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.459,11.737,0.051,16.474,0.325,0.235,1757.0,986.0,1.0
shift,2.595,2.278,-1.136,6.812,0.073,0.052,965.0,1132.0,1.0
b_shrinkage[0],1.256,2.047,0.069,3.207,0.068,0.048,1475.0,897.0,1.0
b_shrinkage[1],0.403,1.098,0.001,1.363,0.03,0.021,2414.0,1492.0,1.0
fixed_b[0],10.044,3.358,4.08,16.847,0.141,0.107,663.0,649.0,1.0
fixed_b[1],-0.383,0.139,-0.627,-0.115,0.005,0.004,781.0,652.0,1.0
ls,6.928,2.634,2.277,11.472,0.158,0.112,277.0,393.0,1.01
var,11.051,10.829,0.712,27.478,0.496,0.351,488.0,799.0,1.0
nu_y,3.376,1.422,0.953,5.862,0.035,0.024,1514.0,1203.0,1.0
sigma_y,1.965,0.36,1.268,2.622,0.009,0.006,1692.0,1177.0,1.0
