,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.297,16.701,0.058,19.238,0.453,0.321,955.0,901.0,1.0
shift,3.389,3.507,-1.201,10.452,0.153,0.125,709.0,783.0,1.0
b_shrinkage[0],0.973,1.304,0.006,2.453,0.038,0.027,1038.0,673.0,1.0
b_shrinkage[1],0.345,0.594,0.0,1.254,0.018,0.013,1294.0,1146.0,1.0
fixed_b[0],8.293,4.234,-0.956,14.399,0.189,0.167,573.0,444.0,1.01
fixed_b[1],-0.335,0.167,-0.639,-0.024,0.007,0.006,694.0,380.0,1.01
ls,6.228,1.901,3.049,9.67,0.106,0.075,327.0,408.0,1.01
var,15.948,15.949,2.169,37.803,0.796,0.563,499.0,350.0,1.01
nu_y,1.185,0.387,0.603,1.947,0.01,0.007,1513.0,1446.0,1.0
sigma_y,1.216,0.418,0.543,2.053,0.019,0.013,370.0,146.0,1.01
