,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.772,8.188,0.048,16.163,0.239,0.169,785.0,580.0,1.01
shift,2.14,1.205,-0.092,4.452,0.066,0.047,332.0,393.0,1.02
b_shrinkage[0],0.671,1.097,0.003,2.066,0.031,0.022,1060.0,753.0,1.0
b_shrinkage[1],0.279,0.762,0.0,1.004,0.021,0.015,1133.0,1278.0,1.0
fixed_b[0],2.598,1.627,-0.518,5.461,0.09,0.064,337.0,573.0,1.01
fixed_b[1],-0.117,0.056,-0.228,-0.01,0.003,0.002,426.0,236.0,1.02
ls,38.704,179.367,0.01,97.52,6.731,4.761,92.0,126.0,1.05
var,3.139,3.95,0.001,9.988,0.202,0.143,326.0,623.0,1.01
nu_y,3.01,1.305,1.075,5.437,0.037,0.026,996.0,830.0,1.0
sigma_y,1.123,0.255,0.619,1.565,0.015,0.01,302.0,174.0,1.01
