,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.379,16.506,0.07,23.456,0.437,0.309,1060.0,609.0,1.0
shift,-4.207,4.285,-12.121,2.145,0.135,0.096,1009.0,1400.0,1.0
b_shrinkage[0],1.143,1.361,0.012,3.288,0.037,0.027,1030.0,725.0,1.0
b_shrinkage[1],0.319,0.638,0.0,1.118,0.018,0.013,1873.0,1251.0,1.0
fixed_b[0],11.06,11.417,-5.597,33.997,0.437,0.411,933.0,670.0,1.0
fixed_b[1],-0.202,0.391,-0.903,0.535,0.015,0.014,946.0,618.0,1.0
ls,13.219,3.706,5.643,19.463,0.168,0.119,488.0,599.0,1.01
var,150.562,151.421,7.193,396.043,7.822,5.968,560.0,486.0,1.01
nu_y,3.568,1.467,1.346,6.273,0.035,0.027,1972.0,1099.0,1.0
sigma_y,3.352,0.537,2.34,4.321,0.012,0.008,2122.0,1414.0,1.01
