,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.813,8.385,0.028,13.479,0.208,0.147,816.0,771.0,1.01
shift,1.088,2.052,-2.264,5.613,0.062,0.051,1208.0,1112.0,1.01
b_shrinkage[0],1.119,3.549,0.009,3.005,0.091,0.065,1031.0,876.0,1.01
b_shrinkage[1],0.288,0.592,0.0,1.064,0.014,0.01,1245.0,1346.0,1.0
fixed_b[0],7.536,6.134,-3.95,18.321,0.28,0.198,479.0,165.0,1.02
fixed_b[1],-0.185,0.198,-0.576,0.165,0.007,0.005,744.0,915.0,1.01
ls,14.421,4.637,6.157,22.269,0.328,0.271,290.0,170.0,1.02
var,54.484,82.449,2.568,138.928,8.764,6.977,354.0,178.0,1.01
nu_y,4.312,1.577,1.634,7.168,0.042,0.03,1255.0,1474.0,1.0
sigma_y,2.365,0.33,1.727,2.947,0.011,0.008,952.0,1085.0,1.0
