,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.822,8.716,0.031,16.823,0.226,0.16,1073.0,961.0,1.0
shift,-1.62,2.827,-7.337,3.219,0.098,0.073,913.0,1097.0,1.0
b_shrinkage[0],1.7,4.806,0.009,4.096,0.136,0.096,761.0,871.0,1.0
b_shrinkage[1],0.394,0.695,0.0,1.331,0.017,0.012,1406.0,1232.0,1.0
fixed_b[0],17.279,14.042,-4.45,44.654,0.683,0.483,442.0,534.0,1.0
fixed_b[1],-0.5,0.489,-1.346,0.454,0.024,0.017,420.0,651.0,1.0
ls,12.981,3.303,6.557,18.911,0.202,0.143,261.0,241.0,1.01
var,281.731,254.724,44.598,753.283,13.073,9.251,476.0,750.0,1.0
nu_y,2.513,0.935,0.98,4.131,0.027,0.02,1256.0,1216.0,1.01
sigma_y,2.509,0.483,1.567,3.342,0.014,0.01,1106.0,1050.0,1.0
