,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.266,16.684,0.195,21.015,0.465,0.329,1531.0,1166.0,1.0
shift,4.062,1.599,0.932,6.808,0.059,0.041,745.0,1060.0,1.0
b_shrinkage[0],0.768,2.194,0.003,1.868,0.064,0.045,893.0,611.0,1.01
b_shrinkage[1],0.291,0.841,0.0,1.061,0.019,0.014,1249.0,847.0,1.0
fixed_b[0],3.349,2.493,-1.149,7.409,0.114,0.101,559.0,704.0,1.01
fixed_b[1],-0.171,0.119,-0.379,0.037,0.006,0.005,535.0,580.0,1.01
ls,7.001,2.39,2.819,10.767,0.134,0.099,367.0,493.0,1.0
var,7.361,9.022,0.605,17.423,0.489,0.346,506.0,547.0,1.0
nu_y,1.213,0.392,0.602,1.945,0.012,0.009,987.0,945.0,1.0
sigma_y,0.747,0.261,0.314,1.243,0.01,0.007,633.0,616.0,1.0
