,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,9.651,29.449,0.155,23.44,0.815,0.576,1184.0,766.0,1.0
shift,6.173,2.694,0.275,10.308,0.147,0.104,329.0,858.0,1.0
b_shrinkage[0],1.232,1.801,0.004,3.213,0.061,0.043,880.0,598.0,1.01
b_shrinkage[1],0.399,0.813,0.0,1.394,0.019,0.014,2343.0,1685.0,1.0
fixed_b[0],10.223,3.509,3.466,17.601,0.147,0.104,626.0,479.0,1.01
fixed_b[1],-0.393,0.132,-0.632,-0.105,0.006,0.004,470.0,461.0,1.02
ls,8.762,4.024,1.97,15.606,0.326,0.231,137.0,140.0,1.01
var,11.747,14.805,0.797,34.342,0.792,0.56,274.0,489.0,1.01
nu_y,2.144,0.797,0.92,3.67,0.02,0.014,1547.0,1432.0,1.0
sigma_y,1.305,0.29,0.815,1.859,0.007,0.005,1582.0,1452.0,1.0
