,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.984,6.077,0.015,11.996,0.151,0.106,1317.0,747.0,1.0
shift,0.682,1.434,-1.738,3.605,0.039,0.033,1433.0,1304.0,1.0
b_shrinkage[0],1.124,1.82,0.041,2.766,0.05,0.036,1230.0,1014.0,1.01
b_shrinkage[1],0.411,2.274,0.0,1.173,0.068,0.048,1458.0,1219.0,1.0
fixed_b[0],9.427,3.606,1.983,15.593,0.163,0.115,497.0,723.0,1.01
fixed_b[1],-0.384,0.175,-0.732,-0.06,0.008,0.005,531.0,590.0,1.01
ls,6.711,1.429,4.18,9.367,0.077,0.055,337.0,592.0,1.0
var,14.155,12.096,2.266,35.652,0.532,0.376,563.0,733.0,1.01
nu_y,0.817,0.209,0.483,1.236,0.006,0.004,1040.0,769.0,1.0
sigma_y,0.616,0.211,0.274,0.996,0.008,0.006,679.0,1119.0,1.0
