,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.888,5.877,0.026,11.62,0.156,0.12,1166.0,541.0,1.0
shift,0.179,1.662,-3.262,3.572,0.059,0.047,964.0,900.0,1.0
b_shrinkage[0],1.01,1.599,0.007,2.868,0.044,0.031,968.0,578.0,1.0
b_shrinkage[1],0.273,0.499,0.0,1.026,0.012,0.009,1609.0,1415.0,1.0
fixed_b[0],6.811,3.763,-0.377,13.83,0.178,0.126,452.0,570.0,1.01
fixed_b[1],-0.158,0.132,-0.415,0.08,0.006,0.004,445.0,734.0,1.01
ls,12.439,3.827,5.806,19.411,0.209,0.148,342.0,579.0,1.01
var,15.288,17.117,1.472,40.184,0.751,0.531,623.0,616.0,1.0
nu_y,3.042,1.286,1.155,5.44,0.037,0.026,1156.0,1403.0,1.0
sigma_y,1.72,0.34,1.076,2.306,0.01,0.007,1069.0,1281.0,1.0
