,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.248,29.135,0.01,12.705,0.964,0.682,1745.0,1292.0,1.0
shift,-0.234,1.564,-3.52,2.669,0.038,0.038,1789.0,1129.0,1.01
b_shrinkage[0],1.438,2.329,0.008,3.505,0.071,0.05,1224.0,779.0,1.0
b_shrinkage[1],0.33,0.605,0.0,1.182,0.015,0.011,1782.0,1201.0,1.0
fixed_b[0],13.728,7.216,-0.078,26.55,0.268,0.19,737.0,899.0,1.0
fixed_b[1],-0.375,0.221,-0.773,0.025,0.008,0.005,847.0,1016.0,1.0
ls,14.396,3.674,7.397,20.967,0.191,0.135,357.0,391.0,1.01
var,63.737,59.83,8.028,166.046,2.32,1.641,616.0,1111.0,1.01
nu_y,3.495,1.404,1.402,6.195,0.03,0.022,1922.0,1335.0,1.0
sigma_y,1.974,0.337,1.348,2.617,0.009,0.006,1571.0,1036.0,1.0
