,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.794,17.244,0.011,13.537,0.655,0.464,227.0,83.0,1.02
shift,0.417,1.125,-1.951,2.355,0.058,0.041,363.0,461.0,1.01
b_shrinkage[0],0.785,1.233,0.004,2.23,0.041,0.029,744.0,881.0,1.01
b_shrinkage[1],0.298,0.603,0.0,1.145,0.019,0.013,500.0,394.0,1.01
fixed_b[0],4.029,1.882,-0.465,7.136,0.13,0.099,256.0,247.0,1.02
fixed_b[1],-0.145,0.077,-0.279,0.006,0.004,0.003,325.0,269.0,1.01
ls,488.496,12129.785,0.003,64.086,453.907,321.092,82.0,254.0,1.04
var,4.045,6.493,0.01,13.069,0.36,0.255,276.0,401.0,1.02
nu_y,1.906,0.779,0.73,3.395,0.032,0.023,496.0,368.0,1.01
sigma_y,1.051,0.333,0.401,1.634,0.022,0.016,211.0,495.0,1.03
