,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.633,10.245,0.031,14.976,0.442,0.322,662.0,390.0,1.01
shift,1.754,1.453,-0.839,4.384,0.098,0.069,236.0,552.0,1.03
b_shrinkage[0],0.729,1.494,0.004,1.979,0.037,0.026,1258.0,795.0,1.0
b_shrinkage[1],0.352,1.242,0.0,1.248,0.037,0.026,1363.0,929.0,1.0
fixed_b[0],3.356,1.978,-0.639,6.889,0.104,0.073,405.0,463.0,1.03
fixed_b[1],-0.116,0.075,-0.248,0.038,0.004,0.003,391.0,368.0,1.02
ls,259.821,7194.858,0.005,79.745,210.685,149.014,39.0,115.0,1.1
var,4.203,5.792,0.003,12.753,0.28,0.198,384.0,713.0,1.01
nu_y,3.873,1.672,1.222,6.863,0.045,0.033,1430.0,1137.0,1.01
sigma_y,1.508,0.304,0.947,2.126,0.035,0.025,92.0,83.0,1.05
