,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,9.057,11.534,0.873,26.62,0.359,0.254,1189.0,757.0,1.0
shift,5.16,1.056,3.224,7.077,0.055,0.039,453.0,310.0,1.0
b_shrinkage[0],1.0,3.126,0.039,2.486,0.119,0.084,1105.0,509.0,1.01
b_shrinkage[1],0.297,0.611,0.002,1.104,0.016,0.012,1549.0,1607.0,1.0
fixed_b[0],4.435,1.078,2.646,6.688,0.056,0.04,481.0,370.0,1.01
fixed_b[1],-0.22,0.049,-0.314,-0.13,0.002,0.002,573.0,430.0,1.01
ls,10.179,78.145,0.009,12.828,5.827,4.127,66.0,135.0,1.05
var,1.946,2.15,0.002,4.74,0.12,0.085,375.0,314.0,1.01
nu_y,3.34,1.41,1.124,5.768,0.048,0.034,554.0,242.0,1.01
sigma_y,0.989,0.284,0.484,1.582,0.033,0.024,73.0,117.0,1.04
