,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.046,9.865,0.198,18.429,0.325,0.23,298.0,178.0,1.02
shift,3.948,2.042,-0.426,6.986,0.232,0.165,103.0,87.0,1.04
b_shrinkage[0],0.924,1.392,0.021,3.06,0.117,0.083,150.0,249.0,1.04
b_shrinkage[1],0.327,0.58,0.001,1.312,0.023,0.016,217.0,75.0,1.02
fixed_b[0],5.522,2.366,0.518,10.372,0.253,0.215,102.0,45.0,1.05
fixed_b[1],-0.235,0.097,-0.403,-0.025,0.01,0.007,113.0,80.0,1.05
ls,28.704,401.875,0.002,37.293,10.752,7.605,67.0,111.0,1.05
var,4.567,4.742,0.003,11.118,0.257,0.182,241.0,528.0,1.02
nu_y,3.29,1.356,1.241,5.782,0.068,0.048,247.0,159.0,1.01
sigma_y,1.764,0.424,0.977,2.655,0.055,0.039,73.0,46.0,1.04
