,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.998,7.957,0.026,13.996,0.25,0.177,527.0,421.0,1.01
shift,1.52,1.078,-0.354,3.365,0.068,0.048,269.0,489.0,1.01
b_shrinkage[0],0.739,1.355,0.002,2.117,0.049,0.034,439.0,288.0,1.0
b_shrinkage[1],0.254,0.794,0.0,0.958,0.02,0.014,1164.0,1219.0,1.0
fixed_b[0],2.963,1.878,-0.69,6.407,0.126,0.089,278.0,223.0,1.03
fixed_b[1],-0.073,0.051,-0.171,0.02,0.003,0.002,299.0,277.0,1.0
ls,81.208,1397.644,0.003,96.485,41.023,29.015,31.0,87.0,1.1
var,4.023,6.654,0.002,11.686,0.474,0.369,317.0,413.0,1.02
nu_y,3.981,1.71,1.222,6.983,0.096,0.072,311.0,421.0,1.02
sigma_y,1.347,0.394,0.325,1.855,0.081,0.058,30.0,44.0,1.09
