,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.057,8.84,0.03,18.047,0.237,0.167,972.0,771.0,1.0
shift,2.476,1.669,-0.361,5.681,0.054,0.04,944.0,1024.0,1.0
b_shrinkage[0],0.94,3.715,0.012,2.218,0.134,0.095,1254.0,987.0,1.0
b_shrinkage[1],0.346,0.874,0.0,1.204,0.025,0.018,1179.0,919.0,1.0
fixed_b[0],5.132,2.619,-0.386,9.29,0.104,0.074,644.0,910.0,1.0
fixed_b[1],-0.226,0.133,-0.45,0.033,0.005,0.004,619.0,732.0,1.0
ls,5.949,1.642,2.612,8.738,0.105,0.074,233.0,334.0,1.02
var,7.339,6.363,1.074,17.699,0.275,0.195,512.0,697.0,1.0
nu_y,1.274,0.41,0.601,2.069,0.013,0.009,759.0,336.0,1.0
sigma_y,0.833,0.256,0.374,1.282,0.01,0.007,566.0,437.0,1.0
