,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.882,7.436,0.027,10.183,0.187,0.132,1199.0,676.0,1.0
shift,0.99,1.092,-0.744,3.264,0.032,0.026,1188.0,1233.0,1.0
b_shrinkage[0],0.726,0.939,0.01,1.838,0.025,0.018,1304.0,1063.0,1.0
b_shrinkage[1],0.292,0.697,0.0,1.102,0.017,0.012,1091.0,560.0,1.0
fixed_b[0],4.219,1.805,0.134,7.588,0.091,0.066,466.0,425.0,1.01
fixed_b[1],-0.156,0.079,-0.302,0.006,0.004,0.003,431.0,375.0,1.01
ls,18.653,100.731,0.024,31.428,5.311,3.758,74.0,123.0,1.06
var,3.151,4.011,0.021,9.27,0.182,0.129,383.0,649.0,1.01
nu_y,1.769,0.673,0.768,3.087,0.021,0.015,716.0,394.0,1.0
sigma_y,1.024,0.297,0.423,1.506,0.013,0.009,437.0,292.0,1.01
