,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.041,7.804,0.023,12.38,0.224,0.159,637.0,396.0,1.01
shift,0.197,1.402,-2.364,2.975,0.149,0.106,99.0,81.0,1.04
b_shrinkage[0],0.633,1.282,0.003,1.789,0.042,0.03,813.0,772.0,1.01
b_shrinkage[1],0.249,0.644,0.0,1.002,0.021,0.015,711.0,788.0,1.0
fixed_b[0],2.43,1.88,-0.848,6.423,0.163,0.133,151.0,125.0,1.05
fixed_b[1],-0.025,0.057,-0.14,0.086,0.003,0.003,380.0,246.0,1.02
ls,22.021,99.436,0.005,39.899,3.45,2.44,19.0,45.0,1.15
var,5.21,7.035,0.011,15.094,0.428,0.303,303.0,598.0,1.03
nu_y,3.942,1.697,1.415,7.073,0.082,0.058,362.0,503.0,1.01
sigma_y,1.393,0.36,0.373,1.884,0.08,0.057,30.0,19.0,1.1
