,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.922,12.427,0.083,21.913,0.337,0.247,1350.0,1096.0,1.0
shift,-4.291,4.201,-12.368,2.044,0.121,0.086,1224.0,1563.0,1.0
b_shrinkage[0],1.39,2.56,0.011,3.7,0.078,0.056,917.0,998.0,1.0
b_shrinkage[1],0.31,0.611,0.0,1.071,0.015,0.011,1274.0,672.0,1.0
fixed_b[0],11.669,11.185,-7.713,32.33,0.434,0.33,709.0,748.0,1.0
fixed_b[1],-0.134,0.398,-0.905,0.597,0.014,0.01,877.0,1270.0,1.0
ls,12.591,3.559,6.091,19.392,0.179,0.127,390.0,621.0,1.02
var,252.459,230.031,36.839,632.851,10.47,7.408,643.0,592.0,1.0
nu_y,3.221,1.396,1.097,5.688,0.031,0.025,1942.0,1259.0,1.0
sigma_y,3.382,0.616,2.222,4.502,0.016,0.011,1531.0,1401.0,1.0
