,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.519,7.005,0.019,13.375,0.165,0.116,1298.0,764.0,1.0
shift,-1.224,1.588,-4.654,1.293,0.053,0.04,1018.0,1132.0,1.0
b_shrinkage[0],0.877,2.295,0.006,2.259,0.06,0.043,1220.0,944.0,1.0
b_shrinkage[1],0.296,0.827,0.0,0.987,0.024,0.017,1826.0,1153.0,1.0
fixed_b[0],5.182,4.679,-2.389,15.098,0.16,0.122,909.0,869.0,1.0
fixed_b[1],-0.103,0.164,-0.431,0.192,0.006,0.005,683.0,991.0,1.0
ls,12.974,3.783,5.821,19.663,0.163,0.116,495.0,875.0,1.0
var,32.052,31.344,4.151,92.382,1.163,0.823,652.0,1108.0,1.01
nu_y,2.757,1.222,1.053,5.018,0.03,0.022,1590.0,1726.0,1.0
sigma_y,1.323,0.289,0.775,1.834,0.008,0.006,1316.0,1119.0,1.0
