,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.364,10.837,0.038,13.352,0.341,0.241,894.0,791.0,1.01
shift,1.683,1.593,-0.925,4.448,0.085,0.073,360.0,864.0,1.01
b_shrinkage[0],0.679,1.259,0.004,1.914,0.036,0.026,1198.0,610.0,1.01
b_shrinkage[1],0.328,1.636,0.0,1.106,0.04,0.029,1064.0,723.0,1.0
fixed_b[0],3.064,2.147,-1.085,6.971,0.09,0.064,572.0,359.0,1.0
fixed_b[1],-0.083,0.078,-0.241,0.061,0.003,0.002,741.0,888.0,1.0
ls,26.229,209.861,0.013,57.926,5.17,3.656,77.0,44.0,1.04
var,5.53,6.985,0.005,16.743,0.32,0.226,583.0,412.0,1.0
nu_y,3.629,1.553,1.152,6.522,0.041,0.03,1348.0,1016.0,1.0
sigma_y,1.568,0.362,0.834,2.338,0.043,0.03,98.0,46.0,1.03
