,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.77,15.628,0.065,15.249,0.476,0.337,1262.0,1034.0,1.01
shift,2.147,1.096,-0.05,3.989,0.076,0.054,222.0,1051.0,1.02
b_shrinkage[0],0.682,0.823,0.005,1.884,0.025,0.017,345.0,941.0,1.02
b_shrinkage[1],0.315,0.542,0.0,1.082,0.047,0.034,111.0,1314.0,1.04
fixed_b[0],3.186,1.722,-0.048,5.939,0.169,0.133,83.0,190.0,1.04
fixed_b[1],-0.134,0.075,-0.276,0.022,0.006,0.004,111.0,215.0,1.03
ls,9.772,46.764,0.066,18.276,2.402,1.7,44.0,81.0,1.08
var,2.765,3.693,0.016,7.684,0.29,0.206,249.0,199.0,1.02
nu_y,2.696,1.293,0.79,4.946,0.131,0.093,49.0,223.0,1.06
sigma_y,0.916,0.296,0.318,1.368,0.058,0.041,28.0,19.0,1.1
